Title,Reading Ease,Grade Level
fpn-wrightmarcus-wright.txt,75.5,5.9
fpn-wyeth-wyeth.txt,57.23,12.9
fpn-young-young.txt,56.32,13.3
fpn-zettler-zettler.txt,69.96,10.1
nc-jones85-jones85.txt,77.27,7.3
neh-dsmith-dsmith.txt,68.3,8.7
neh-jonestom-jones.txt,73.31,8.8
neh-roper-roper.txt,67.93,10.9
southlit-chesnut-maryches.txt,80.41,6.1
southlit-pagesocial-page.txt,62.82,10.8
